Command: /home/users/yves6512/Project/hardware/./simv +HEX=tb6.hex -l run.log
Chronologic VCS simulator copyright 1991-2023
Contains Synopsys proprietary information.
Compiler version V-2023.12_Full64; Runtime version V-2023.12_Full64;  Dec 19 04:27 2025
*Verdi* Loading libsscore_vcs202312.so
FSDB Dumper for VCS, Release Verdi_V-2023.12, Linux x86_64/64bit, 11/15/2023
(C) 1996 - 2023 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file 'wave.fsdb'
*Verdi* : Begin traversing the scope (controller_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scope (controller_tb.dut), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
[TB] Using HEX file:                                                                                                                          tb6.hex
[TB] Loaded 26 words from                                                                                                                          tb6.hex
[4225000] PC=64  instr=00120004  asic_done=0
[4235000] PC=64  instr=00120004  asic_done=0
[4245000] PC=64  instr=00120004  asic_done=0
[4255000] PC=64  instr=00120004  asic_done=0
[4265000] PC=64  instr=00120004  asic_done=0
[4275000] PC=64  instr=00120004  asic_done=0
[4285000] PC=64  instr=00120004  asic_done=0
[4295000] PC=64  instr=00120004  asic_done=0
[4305000] PC=64  instr=00120004  asic_done=0
[4315000] PC=64  instr=00120004  asic_done=0
[4325000] PC=64  instr=00120004  asic_done=0
[4335000] PC=64  instr=00120004  asic_done=0
[4345000] PC=64  instr=00120004  asic_done=0
[4355000] PC=64  instr=00120004  asic_done=0
[4365000] PC=64  instr=00120004  asic_done=0
[4375000] PC=64  instr=00120004  asic_done=0
[4385000] PC=64  instr=00120004  asic_done=0
[4395000] PC=64  instr=00120004  asic_done=0
[4405000] PC=64  instr=00120004  asic_done=0
[4415000] PC=64  instr=00120004  asic_done=0
[4425000] PC=64  instr=00120004  asic_done=0
[4435000] PC=64  instr=00120004  asic_done=0
[4445000] PC=64  instr=00120004  asic_done=0
[4455000] PC=64  instr=00120004  asic_done=0
[4465000] PC=64  instr=00120004  asic_done=0
[4475000] PC=64  instr=00120004  asic_done=0
[4485000] PC=64  instr=00120004  asic_done=0
[4495000] PC=64  instr=00120004  asic_done=0
[4505000] PC=64  instr=00120004  asic_done=0
[4515000] PC=64  instr=00120004  asic_done=0
[4525000] PC=64  instr=00120004  asic_done=0
[4535000] PC=64  instr=00120004  asic_done=0
[4545000] PC=64  instr=00120004  asic_done=0
[4555000] PC=64  instr=00120004  asic_done=0
[4565000] PC=64  instr=00120004  asic_done=0
[4575000] PC=64  instr=00120004  asic_done=0
[4585000] PC=64  instr=00120004  asic_done=0
[4595000] PC=64  instr=00120004  asic_done=0
[4605000] PC=64  instr=00120004  asic_done=0
[4615000] PC=64  instr=00120004  asic_done=0
[4625000] PC=64  instr=00120004  asic_done=0
[4635000] PC=64  instr=00120004  asic_done=0
[4645000] PC=64  instr=00120004  asic_done=0
[4655000] PC=64  instr=00120004  asic_done=0
[4665000] PC=64  instr=00120004  asic_done=0
[4675000] PC=64  instr=00120004  asic_done=0
[4685000] PC=64  instr=00120004  asic_done=0
[4695000] PC=64  instr=00120004  asic_done=0
[4705000] PC=64  instr=00120004  asic_done=0
[4715000] PC=64  instr=00120004  asic_done=0
[4725000] PC=64  instr=00120004  asic_done=0
[4735000] PC=64  instr=00120004  asic_done=0
[4745000] PC=64  instr=00120004  asic_done=0
[4755000] PC=64  instr=00120004  asic_done=0
[4765000] PC=64  instr=00120004  asic_done=0
[4775000] PC=64  instr=00120004  asic_done=0
[4785000] PC=64  instr=00120004  asic_done=0
[4795000] PC=64  instr=00120004  asic_done=0
[4805000] PC=64  instr=00120004  asic_done=0
[4815000] PC=64  instr=00120004  asic_done=0
[4825000] PC=64  instr=00120004  asic_done=0
[4835000] PC=64  instr=00120004  asic_done=0
[4845000] PC=64  instr=00120004  asic_done=0
[4855000] PC=64  instr=00120004  asic_done=0
[4865000] PC=64  instr=00120004  asic_done=0
